"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9609507","Protein localization","92/3370","149/7765",0.61744966442953,1.42269930097783,4.56183392119906,4.14423605008916e-06,0.00595112296792803,0.00571904574912304,"SERP1/IDH1/HSPD1/CAT/CRAT/HSD17B4/PRNP/SLC25A4/PEX19/APP/CROT/STX1A/UBC/FIS1/DHRS4/SCP2/SLC27A2/ABCD1/CS/ECI2/ACOT2/TIMM17B/GET1/GET3/SEC61B/IDE/CYB5A/CHCHD2/ABCD3/PEX2/ATP5F1A/CMC2/PITRM1/PHYH/ACAA1/ZFAND6/EPHX2/TIMM13/TOMM22/DNAJC19/BAG6/TIMM23/SLC25A13/CYC1/PEX11B/COX19/COA4/PECR/PXMP4/FXN/GRPEL2/ATP5F1B/LONP2/ACO2/IDH3G/EHHADH/COX17/TYSND1/CHCHD3/TOMM70/ACOX2/STX5/VDAC1/PEX7/COA6/UBL4A/PMPCA/CAMLG/GRPEL1/TOMM20/MTX1/SLC25A17/MTX2/HACL1/CHCHD5/TIMM8B/PMPCB/COQ2/TIMM44/EMD/CHCHD4/PEX16/SAMM50/RPS27A/HMGCL/PAM16/ACOX3/ACOX1/VAMP2/TIMM10/NUDT7/TIMM10B",92
"R-HSA-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","79/3370","132/7765",0.598484848484849,1.37900143871954,3.8455500411397,9.26908525552056e-05,0.0392025533349054,0.037673762954157,"NDUFA4/ATP5MG/NDUFS5/ETFA/MDH1/UCP2/COX7B/NDUFV1/NDUFB6/ATP5PF/NDUFA5/UQCRC2/COX8A/NDUFS4/SCO1/NDUFA2/ATP5F1E/NDUFS2/UQCR10/CYCS/NDUFB9/COX14/COX4I1/ND3/NDUFB11/ETFDH/UQCRB/NDUFB4/NDUFS3/NDUFA1/COX6C/COX6B1/COX6A1/COX5A/MDH2/ATP5F1A/NDUFA6/COX18/COX7A2L/ATP5MF/UQCRFS1/UQCRH/NDUFAB1/NDUFB2/COQ10B/SURF1/NDUFA12/COX16/SLC25A13/CYC1/COX20/COX19/NDUFB7/COX11/ATP5F1B/NDUFAF4/COX2/ATP5MC3/NDUFB5/NDUFV3/ATP5F1C/NDUFC2/NDUFA10/SLC25A11/NDUFA3/COX5B/ATP5ME/NDUFB3/ATP5PD/COX7C/UCP3/SDHC/UQCRQ/ATP5PO/ETFB/TIMMDC1/ND5/COX1/NDUFS6",79
"R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","220/3370","421/7765",0.522565320665083,1.20407113203691,3.76994106981727,0.000106608730420621,0.0392025533349054,0.037673762954157,"AREG/DUSP4/NRP1/CDH5/ERBB4/HSP90AA1/KITLG/ESR1/CXCL12/WWP1/FGFR3/PDGFB/VEGFA/NAB2/TIAM1/PIK3R3/PTPN12/CAV1/BCAR1/COL5A1/AKT1/STAT6/POLR2J/RALB/JUNB/ATP6V1A/CYBA/BTC/EPS15L1/THBS1/SGK1/SPINT2/VAV3/GRB7/COL4A3/ID1/EGFR/SPHK1/NCK2/CRKL/BAX/UBC/EGR3/MATK/AHCYL1/LAMA5/INSR/NAB1/RAC1/MST1R/CALM3/PXN/ATP6V1F/BRK1/NRG3/PTPRK/CALM1/MEF2D/MXD4/TCIRG1/AP2S1/SPRED2/CYFIP2/YWHAB/SH3GL1/VGF/RHOA/PAK2/FAM83B/JAK2/CTNNA1/PTPRU/ACTB/EPN1/MAPK3/FGFR4/ATP6V0E2/ERBB3/ITPR3/ATP6V0D1/THEM4/STMN1/CDK5/EGR1/RANBP9/COL27A1/MUC20/JUND/BRAF/AP2A1/ERBB2/EPS15/ATP6V1E1/APH1A/VAV1/CBL/DUSP3/POLR2K/ATP6V0E1/LAMB3/SPINT1/HRAS/IDE/ESRP2/PPP2CB/KRAS/ID4/ATF1/CALM2/PTBP1/COL11A2/HSPB1/ROCK1/FAM83A/MAPK13/ATP6V0A2/MAP2K1/HGFAC/EPGN/GRB10/CSK/HGS/PPP2CA/NEDD4/POLR2F/IRS1/JUP/TNK2/HDAC3/RANBP10/TNS3/SPRED1/ITGAV/SOCS6/RALA/MYC/SH2B2/FAM83D/ATP6V1D/STUB1/PPP2R1A/ACTG1/ABI2/DNM1/MAPK12/CTSD/PIK3R1/MAP2K5/FGFR2/APOE/HNRNPA1/PPP2R1B/PLCG1/PTPN18/NCOR1/PTPN3/POLR2A/VAV2/MAPK11/ATP6V1E2/ESRP1/TEC/LAMA3/POLR2L/LAMC2/ANOS1/USP8/DUSP6/POLR2I/MAPKAP1/MAPKAPK2/FURIN/SH2B3/HDAC2/JAK3/CLTC/TRIB3/CD274/LAMB1/ATP6V1H/POLR2H/VEGFB/SHC1/MST1/FER/TGFA/FLT4/ADAP1/FLRT3/MKNK1/PDPK1/ATP6V1G1/HIF1A/NELFB/ATP6V0A4/RAP1B/ATP6V0A1/RAP1A/ADAM10/TNS4/DNAL4/AP2B1/MET/PSENEN/BAIAP2/STAT5B/CRK/ATP6V1C2/RPS27A/RPS6KA3/HNRNPH1/MAPKAPK3/ATF2/COL9A2/PRKCD/DNMT1/GIPC1/PTPRJ/POLR2D/NRAS",220
"R-HSA-191273","Cholesterol biosynthesis","21/3370","26/7765",0.807692307692308,1.8610477060032,3.85078914380804,0.0001091993129106,0.0392025533349054,0.037673762954157,"LSS/SQLE/DHCR7/MVD/FDFT1/MVK/FDPS/ACAT2/EBP/HMGCS1/SREBF1/ARV1/IDI1/MSMO1/PLPP6/SREBF2/NSDHL/HMGCR/LBR/HSD17B7/DHCR24",21
"R-HSA-1268020","Mitochondrial protein import","41/3370","61/7765",0.672131147540984,1.5486938755655,3.76716955158321,0.000142084745626041,0.0408067389437989,0.0392153897927873,"HSPD1/SLC25A4/CS/TIMM17B/CHCHD2/ATP5F1A/CMC2/PITRM1/TIMM13/TOMM22/DNAJC19/TIMM23/SLC25A13/CYC1/COX19/COA4/FXN/GRPEL2/ATP5F1B/ACO2/IDH3G/COX17/CHCHD3/TOMM70/VDAC1/COA6/PMPCA/GRPEL1/TOMM20/MTX1/MTX2/CHCHD5/TIMM8B/PMPCB/COQ2/TIMM44/CHCHD4/SAMM50/PAM16/TIMM10/TIMM10B",41
