"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",196,-0.565497352160532,-2.33105661280714,3.89166964505147e-14,1.90691812607522e-12,1.14701842169938e-12,2800,"tags=56%, list=19%, signal=46%","4728/4707/4726/65003/26519/5447/2271/1355/539/27089/3420/6391/56945/7417/6832/26521/1350/10476/51660/10651/4709/9550/521/80273/1329/23203/7416/51606/4696/9131/8402/4718/4967/10063/509/3421/4711/50/518/506/2395/1353/7419/4713/51382/1537/6834/56993/26517/10935/4708/5435/4706/7388/7386/9551/30/9167/4700/64981/498/5250/4191/9377/1337/1892/1340/1345/1528/4694/4722/29088/8992/8802/3030/4710/7381/529/1347/3028/1327/54205/29796/4720/514/3052/4259/1431/292/4695/840/4724/10449/1351/7385/4698/3418/522/4712/9296/5162/1349/4190/1738/2108/581/10632/4697/291/23530"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",182,-0.450932837578627,-1.85123037182302,4.16425513833056e-06,0.000102024250889099,6.13679704596082e-05,2698,"tags=39%, list=19%, signal=32%","5447/8491/1580/539/27089/6391/27069/25813/8884/5495/901/2101/51805/3977/80273/5733/1468/9131/6647/8322/3421/50/4713/1537/10935/4706/55177/83549/4189/415116/4191/1337/1892/23344/84919/4722/28512/29088/8802/27250/334/29796/134147/4259/483/1431/10449/1351/4698/9936/6342/29103/23788/10313/79602/1349/7351/1738/1031/7316/2040/6576/51635/26994/1717/47/130814/56922/10124/7905/26353"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",127,-0.462313432891162,-1.80597522422138,0.00010112772888898,0.00165175290518667,0.000993535582067171,2158,"tags=31%, list=15%, signal=27%","657/55109/8613/8405/7410/5607/861/4131/4781/4609/8997/4092/302/3667/11044/2697/6383/23576/23266/4052/3491/493/2535/3949/3488/11099/1027/3638/1628/5577/10486/2202/857/7035/4325/8503/9975/10395/8829/5376"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",160,0.403018330201753,1.66282938461955,0.000418072094658991,0.00409710652765811,0.00246442497904247,1031,"tags=26%, list=7%, signal=24%","374/1846/8878/4082/7832/6303/7422/2683/8553/7127/3976/2114/3726/3371/23764/22822/8877/1960/23258/3383/9592/23135/23529/1847/9308/5971/5329/4783/57018/9334/4791/1958/56937/1051/7050/3914/8942/1326/3460/7128/80149"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",182,0.389562166795956,1.62730724163742,0.000344951028062627,0.00409710652765811,0.00246442497904247,1678,"tags=24%, list=12%, signal=21%","54541/1999/3417/7422/2683/7045/5836/8497/8912/1289/5351/5033/7033/3099/6662/1824/79586/55139/8974/1956/5631/10331/3161/11015/90161/10370/29926/8819/6382/4351/2530/8534/54480/4200/136/6676/1491/5256/205/226/23036/51129/2239"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",69,-0.509654602853488,-1.79197216624359,0.000569085106636106,0.00464752837086153,0.00279550578698438,2156,"tags=46%, list=15%, signal=40%","51478/118429/57761/3156/50814/6721/94241/71/10957/3422/3958/5165/3157/3949/55902/10682/22809/1191/308/2770/39/214/2224/182/4598/2222/4597/1717/928/6282/6713/4047"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",129,-0.411517063389751,-1.61752898267018,0.0016254725888367,0.00966858916477001,0.00581569273068873,1600,"tags=23%, list=11%, signal=21%","118/1540/4092/355/638/839/3958/7465/3315/8682/27250/706/10682/840/1191/2934/1027/4000/581/351/90427/4739/857/7042/595/3005/5914/10628/1026/388"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",185,0.368709727714679,1.54747891497785,0.00138475593810167,0.00966858916477001,0.00581569273068873,958,"tags=19%, list=7%, signal=18%","7031/11098/374/10202/445/1952/9536/8204/5979/6337/9060/221/2261/7869/4665/7074/51083/5618/7033/2171/1960/60481/6509/7980/55806/11001/2707/11031/6280/56521/5364/27134/56339/10105/4681/57834"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",197,-0.367024592306183,-1.51236644214194,0.00177586331597817,0.00966858916477001,0.00581569273068873,1542,"tags=35%, list=11%, signal=31%","23329/3880/4603/4609/9145/55793/60436/56603/2697/6478/65055/84187/54020/2810/80004/8614/9022/9467/29984/11057/8645/27295/267/5420/375449/7162/25976/9687/403/56994/3717/8416/11145/9314/3705/7739/573/6542/7357/21/2317/115/744/10160/6820/1836/64919/2222/22996/1717/595/64284/10560/3487/7164/18/6513/2674/6387/9368/22836/5914/399665/3625/10395/25800/4886/26353"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",146,0.390014116167261,1.58504344439573,0.00222719448043505,0.010533379826536,0.00633586756483367,1843,"tags=29%, list=13%, signal=26%","9249/2118/64332/10397/7074/81848/8553/3976/5033/5621/3099/6402/2012/23764/22822/3482/23258/5359/6510/200734/27242/8202/9308/177/4783/79026/1326/3566/6484/4050/3459/3685/80324/51651/123/64375/158219/8320/5325/2184/990/152007/9261"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",184,-0.374936763532704,-1.53859097672787,0.00236463628758971,0.010533379826536,0.00633586756483367,1861,"tags=26%, list=13%, signal=23%","578/694/8870/1029/3654/4084/92815/51499/8841/355/9538/1969/6275/55332/4071/2810/5820/10057/3265/29948/8673/51768/29946/4193/26999/4814/64393/10608/5784/9314/1030/581/351/2040/10906/6281/1643/23612/900/10560/11059/7164/18/8848/51065/3625/10628/1026"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",26,-0.580339207741961,-1.65977016899808,0.00985186765004569,0.0402284595710199,0.0241975696667789,890,"tags=38%, list=6%, signal=36%","1808/7088/1021/4983/6469/6585/154796/4627/8829/4897"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",132,-0.371719033667503,-1.46295463368358,0.013272079238845,0.0500255294387233,0.0300905440232922,1256,"tags=18%, list=9%, signal=17%","9463/65055/8614/140465/22924/9215/9144/1191/23175/2934/2224/573/3801/351/115/6876/1837/7164/5569/4627/5507/2273/26353/1026"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",94,-0.402129242133057,-1.48881598510823,0.0154615305239721,0.0541153568339022,0.0325505905767833,2070,"tags=30%, list=14%, signal=26%","1072/57761/983/79109/5602/5519/7334/375/5499/2810/3265/1845/5300/10298/5601/7529/5216/10094/1027/396/5879/10451/5899/207/8503/81617/6513/1026"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",100,0.379630824178269,1.46143773438711,0.0167800036480034,0.0548146785834778,0.0329712352381821,1530,"tags=21%, list=11%, signal=19%","3851/1952/7832/80303/51806/5317/2261/3866/11346/3955/57016/55315/51087/727/8085/57089/7356/3750/7781/1907/54847"
